Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
1,8.94,69.93,2.3264579780578614,2.062110920715332
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
1,54.62,97.81,1.2354622577667236,0.0688202772056063
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
2,62.81,97.55,1.013616763114929,0.08062959534997742
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
3,67.6,97.83,0.9383307191848755,0.06752444424054896
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
4,70.07,97.86,0.8642781332015991,0.0703026845741241
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
5,68.99,98.51,0.9143672412872315,0.045515410011758406
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
6,72.71,96.46,0.7857300686836243,0.12301619176274786
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
7,69.99,98.48,0.8648926597595215,0.04185180942292015
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
8,71.41,97.13,0.8158997681617737,0.09050588944194217
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
9,73.34,96.41,0.7526910860061645,0.12332768878042698
Epoch,Test_clean_acc,Test_bad_acc,Test_clean_loss,Test_bad_loss
10,73.43,97.61,0.7573137527465821,0.08159443233776838
